SN,tel,eng,names,finalised
667,"సహ్యాద్రి సూపర్ స్పెషాలిటీ హాస్పిటల్, హడాప్సర్ ","Sahyadri Super Speciality హాస్పిటల్, Hadapsar","సహ్యాద్రి సూపర్ స్పెషలిటీ హాస్పిటల్, హదప్సర్","సహ్యాద్రి సూపర్ స్పెషాలిటీ హాస్పిటల్, హడాప్సర్ "
668,తల్లి రాణి మాగగో అండ్ మహీంద్రా హాస్పిటల్ పవత్ అదృష్టం,Mata Roop Rani Maggo and Mahindru హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,మాతా రూప్ రాణి మగ్గో అండ్ మహీంద్రూ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,మాతా రూప్ రాణి మగ్గో అండ్ మహీంద్రూ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .
669,"కేర్ హాస్పిటల్స్, కాక్హా ","CARE హాస్పిటల్స్, Khordha","కేర్ హాస్పిటల్స్, ఖోర్ధ","కేర్ హాస్పిటల్స్, కాక్హా "
670,అహ్మదాబాద్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సర్వీసెస్ (AIMS),Ahmedabad Institute Of Medical Services (AIMS),అహ్మదాబాద్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సర్వీసెస్ (AIMS),అహ్మదాబాద్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సర్వీసెస్ (AIMS)
671,లోక్మ్యాయా హాస్పిలే,Lokmanya హాస్పిటల్,లోకమాన్య హాస్పిటల్,లోకమాన్య హాస్పిటల్
672,మెట్రో ఉమ్కల్ హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్,Metro Umkal హాస్పిటల్ and Heart Institute,మెట్రో యంకల్ హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్,మెట్రో ఉమ్కల్ హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్
673,MMI Naryana మల్టీపాలిటీ హాస్పిటల్,MMI Naryana Multispeciality హాస్పిటల్,మ్మి నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్,MMI నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్
674,ఓమ్ని ఆర్.కె. సూపర్ స్పెషాలిటీ హాస్పిటల్,Omni RK Super Speciality హాస్పిటల్,ఓమ్ని రాక్ సూపర్ స్పెషలిటీ హాస్పిటల్,ఓమ్ని ఆర్.కె. సూపర్ స్పెషాలిటీ హాస్పిటల్
675,వైదీ ఆసుపత్రి,Vydehi హాస్పిటల్,వైదేహి హాస్పిటల్,వైదేహి హాస్పిటల్
676,సెయింట్ గ్రెగోరియోస్ మెడికల్ మిషన్ హాస్పిటల్,St. Gregorios Medical Mission హాస్పిటల్,St. గ్రెగోరియన్ మెడికల్ మిషన్ హాస్పిటల్,సెయింట్ గ్రెగోరియోస్ మెడికల్ మిషన్ హాస్పిటల్
677,చాన్ డాన్ న్యూరోస్సియన్స్ హాస్పిటల్,Chandan Neuro Sciences హాస్పిటల్,చందం నెర్వ్ సైన్సెస్ హాస్పిటల్,చన్డాన్ న్యూరోస్సియన్స్ హాస్పిటల్
678,గ్లోబల్ హాస్పిటల్ - సూపర్స్పికాలిటీ అండ్ ట్రాన్స్ప్లాంట్ సెంటర్,Global హాస్పిటల్ - Superspeciality అండ్ Transplant Centre,గ్లోబల్ హాస్పిటల్ - సూపర్ స్పెషలిటీ అండ్ ట్రాన్స్ప్లాంట్ సెంటర్,గ్లోబల్ హాస్పిటల్ - సూపర్స్పికాలిటీ అండ్ ట్రాన్స్ప్లాంట్ సెంటర్
679,సెహల్ నియో హాస్పిటల్,Sehgal Neo హాస్పిటల్,సెహగల్ నియో హాస్పిటల్,సెహగల్ నియో హాస్పిటల్
680,ఓజాస్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Ojas Super Speciality హాస్పిటల్,ఓజాస్ సూపర్ స్పెషలిటీ హాస్పిటల్,ఓజాస్ సూపర్ స్పెషాలిటీ హాస్పిటల్
681,రెయిన్బో చిల్డ్రన్స్ మెడికేర్ ప్రైవేట్ లిమిటెడ్,Rainbow Children's Medicare ప్రైవేట్ లిమిటెడ్ ,రెయిన్బో Children's మెడికేర్ పీప్ట్ ల్టీడ్,రెయిన్బో చిల్డ్రన్స్ మెడికేర్ ప్రైవేట్ లిమిటెడ్
682,KMC హాస్పిటల్ (మణిపాల్ హెల్త్ ఎంటర్ప్రైజెస్ ప్రైవేట్ లిమిటెడ్),KMC హాస్పిటల్ (A Unit Of Manipal Health Enterprises Private లిమిటెడ్),కేఎంసీ హాస్పిటల్ (యూనిట్ అఫ్ మణిపాల్ హెల్త్ ఎంట్రప్రెస్స్ ప్రైవేట్ లిమిటెడ్),KMC హాస్పిటల్ (మణిపాల్ హెల్త్ ఎంటర్ప్రైజెస్ ప్రైవేట్ లిమిటెడ్)
683,అపోలో స్పెషాలిటీ హాస్పిటల్స్ (అపోలో హాస్పిటల్స్ ఎంటర్ప్రైజ్ లిమిటెడ్ యూనిట్),Apollo Speciality హాస్పిటల్స్(A Unit of Apollo హాస్పిటల్స్ Enterprise లిమిటెడ్),అపోలో స్పెషలిటీ హాస్పిటల్స్(యూనిట్ అఫ్ అపోలో హాస్పిటల్స్ ఎంతెర్ప్రిసె లిమిటెడ్),అపోలో స్పెషాలిటీ హాస్పిటల్స్ (అపోలో హాస్పిటల్స్ ఎంటర్ప్రైజ్ లిమిటెడ్ యూనిట్)
684,పౌండ్లు ఆసుపత్రి,LBS హాస్పిటల్,లాబ్స్ హాస్పిటల్,LBS హాస్పిటల్
685,షా ఆసుపత్రి,Shah హాస్పిటల్,షా హాస్పిటల్,షా ఆసుపత్రి
686,గ్లోబల్ హార్ట్ అండ్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Global Heart And Super Specialty హాస్పిటల్,గ్లోబల్ హార్ట్ అండ్ సూపర్ స్పెషాలిటీ హాస్పిటల్,గ్లోబల్ హార్ట్ అండ్ సూపర్ స్పెషాలిటీ హాస్పిటల్
687,"R r హాస్పిటల్స్ ప్రైవేట్ యొక్క శివమ్ హాస్పిటల్ యూనిట్. లిమిటెడ్, బహదుర్ఢ్ ","Shivam హాస్పిటల్ Unit Of R R హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ ., Bahadurgarh","శివమ్ హాస్పిటల్ యూనిట్ అఫ్ ర్ ర్ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ ., Bahadurgarh","శివమ్ హాస్పిటల్ యూనిట్ అఫ్ R R  హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ ., బహదుర్ఘర్"
688,కల్రా హాస్పిటల్ SRCNC ప్రైవేట్. లిమిటెడ్ .,Kalra హాస్పిటల్ SRCNC ప్రైవేట్. లిమిటెడ్ .,కల్రా హాస్పిటల్ స్ర్కిన్క్ ప్రైవేట్. లిమిటెడ్ .,కల్రా హాస్పిటల్ SRCNC ప్రైవేట్. లిమిటెడ్ .
689,దేవత మహావీర్ జైన్ హాస్పిటల్,Bhagwan Mahaveer Jain హాస్పిటల్,భగవాన్ మహావీర్ జైన్ హాస్పిటల్,భగవాన్ మహావీర్ జైన్ హాస్పిటల్
